GO_CC(Queried),count,SystematicName,Disease,Genetic_Interaction,GO_MF,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,GO_CC,Protein_Domain
"1,3-beta-D-glucan synthase complex",4,"['YGR032W', 'YLR342W', 'YMR306W', 'YPR165W']",,['LRG1'],"['1,3-beta-D-glucan synthase activity', 'glucosyltransferase activity', 'transferase activity, transferring glycosyl groups']","['(1->3)-beta-D-glucan biosynthetic process', 'cell wall organization', 'fungal-type cell wall polysaccharide biosynthetic process', 'positive regulation of endocytosis', 'regulation of cell shape']",,,,,,"['1,3-beta-glucan synthase component', '1,3-beta-glucan synthase subunit FKS1, domain-1']"
2-micrometer circle DNA,2,"['YDR180W', 'YKL049C']",,,,['2-micrometer plasmid partitioning'],,,,,,
3-isopropylmalate dehydratase complex,1,['YGL009C'],,,,,,,,,,
6-phosphofructokinase complex,2,"['YGR240C', 'YMR205C']",['glycogen storage disease'],,"['6-phosphofructokinase activity', 'AMP binding', 'fructose-6-phosphate binding', 'identical protein binding', 'monosaccharide binding']","['canonical glycolysis', 'fructose 1,6-bisphosphate metabolic process', 'fructose 6-phosphate metabolic process', 'glycolytic process', 'regulation of intracellular pH']",['glycolysis'],,,,,['Phosphofructokinase']
90S preribosome,80,"['YBL004W', 'YBL072C', 'YBR048W', 'YBR189W', 'YBR247C', 'YCL059C', 'YCR031C', 'YCR057C', 'YDL014W', 'YDL060W', 'YDL148C', 'YDL213C', 'YDR025W', 'YDR064W', 'YDR083W', 'YDR299W', 'YDR324C', 'YDR449C', 'YER082C', 'YER102W', 'YER131W', 'YFL002C', 'YFL009W', 'YGL120C', 'YGL171W', 'YGL189C', 'YGR081C', 'YGR090W', 'YGR128C', 'YGR145W', 'YGR214W', 'YGR251W', 'YHR148W', 'YHR169W', 'YHR196W', 'YHR203C', 'YJL010C', 'YJL069C', 'YJL109C', 'YJR002W', 'YJR123W', 'YJR145C', 'YKR060W', 'YLL011W', 'YLR003C', 'YLR129W', 'YLR175W', 'YLR186W', 'YLR197W', 'YLR222C', 'YLR340W', 'YLR409C', 'YLR441C', 'YML063W', 'YMR014W', 'YMR093W', 'YMR128W', 'YMR143W', 'YMR229C', 'YMR290C', 'YNL075W', 'YNL132W', 'YNL178W', 'YNL224C', 'YNL308C', 'YOL010W', 'YOR078W', 'YOR096W', 'YOR145C', 'YOR287C', 'YOR310C', 'YPL012W', 'YPL081W', 'YPL090C', 'YPL126W', 'YPL217C', 'YPL266W', 'YPR112C', 'YPR137W', 'YPR144C']",,"['BUD23', 'CCT4', 'NOP6', 'RRP8', 'UTP30', 'HBS1', 'DOM34', 'NOP15', 'RTS2']","['RNA binding', 'RNA helicase activity', 'U3 snoRNA binding', 'mRNA binding', 'nucleic acid binding', 'rRNA binding', 'rRNA primary transcript binding', 'snoRNA binding', 'structural constituent of ribosome']","['cytoplasmic translation', ""endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"", 'endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)', 'endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)', ""endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"", 'maturation of SSU-rRNA', 'maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)', 'positive regulation of transcription from RNA polymerase I promoter', 'rRNA export from nucleus', 'rRNA modification', 'rRNA processing', 'ribosomal small subunit assembly', 'ribosomal small subunit biogenesis', 'ribosomal small subunit export from nucleus', 'ribosome assembly', 'ribosome biogenesis', 'translation']",,"['RNA accumulation: absent', 'RNA accumulation: decreased', 'RNA accumulation: increased', 'RNA accumulation: normal', 'cell cycle progression in G1 phase: arrested', 'cell cycle progression in G1 phase: increased duration', 'desiccation resistance: increased', 'fermentative growth: decreased rate', 'haploinsufficient', 'inviable', 'nuclear export: decreased']","['SSA1', 'FUN12', 'HTA2', 'UTP20', 'HHF1', 'HHT1', 'KAP104', 'RPL4A', 'RPG1', 'RPS9B', 'ENP1', 'GBP2', 'RRP7', 'KRR1', 'BUD23', 'PWP2', 'PAT1', 'NOP1', 'NAT1', 'TSR1', 'VAM6', 'NOP14', 'SAS10', 'FAP7', 'NHP2', 'NOP6', 'SSB1', 'RPL4B', 'MAK21', 'RPS13', 'RLI1', 'FIN1', 'CCT6', 'RRP45', 'BFR2', 'UTP4', 'FCF1', 'ESF1', 'YRA1', 'UTP5', 'TIF35', 'UTP6', 'PUF6', 'SMT3', 'SLF1', 'SNU13', 'POL5', 'NUG1', 'TMA20', 'ARB1', 'UTP7', 'RPS8B', 'KAP123', 'NSA2', 'LCP5', 'RPS26B', 'UBP3', 'PAB1', 'SPB4', 'OTU1', 'PHO4', 'RPL30', 'MNP1', 'DBP3', 'LSG1', 'PRP43', 'ROK1', 'RAI1', 'SLX9', 'UTP22', 'MDR1', 'NOP7', 'UTP8', 'ENP2', 'NSR1', 'TIF4631', 'RPS0A', 'CRM1', 'NOP19', 'EFG1', 'PXR1', 'ZUO1', 'ECM29', 'SBP1', 'CIC1', 'SSZ1', 'NOP10', 'NMD2', 'GAR1', 'IMP3', 'DBP8', 'UTP9', 'RPN10', 'RPS4B', 'SNL1', 'FAF1', 'ULP2', 'CKA1', 'RPS24B', 'UTP25', 'MLP2', 'YIL161W', 'DSN1', 'NOP9', 'HCA4', 'UTP18', 'BCK1', 'UTP10', 'LSM1', 'RPS14B', 'MPP10', 'RPS5', 'RPS4A', 'MRT4', 'URB1', 'MAK11', 'YNK1', 'DHR2', 'UTP11', 'LTV1', 'EBP2', 'UTP30', 'LAS1', 'RPF2', 'SRP40', 'SOF1', 'PUF3', 'KNS1', 'PRP19', 'DIP2', 'RMP1', 'CBF5', 'EMG1', 'PWP1', 'NOP56', 'UTP13', 'EST1', 'GSP1', 'MMS22', 'UTP21', 'MAG2', 'IMD3', 'PDP3', 'ORC1', 'UTP14', 'BUD22', 'NUP116', 'ERB1', 'UTP15', 'ASC1', 'ECM16', 'ESC1', 'RRP5', 'HAS1', 'PSE1', 'NIP1', 'RLP7', 'HHT2', 'NOP2', 'IMP4', 'NOP15', 'DBP2', 'NAF1', 'KRE33', 'NOP13', 'RPS3', 'UBP10', 'RIO2', 'SSB2', 'GIS2', 'KRI1', 'TRM112', 'BRE5', 'ESF2', 'RCL1', 'NOP12', 'BRX1', 'REX4', 'RPL18A', 'CDC33', 'NOP8', 'UTP23', 'NOB1', 'RPL3', 'BUD21', 'DIA2', 'RPS7A', 'PNO1', 'NOC2', 'YTM1', 'RRS1', 'NOP58', 'RRP12', 'NOP4', 'RPS9A', 'NOG1', 'NAN1', 'RPL5', 'NOP53', 'CBC2', 'RPL7B', 'HRR25', 'BMS1', 'RPL1A', 'HSP82', 'DIM1', 'RPA135', 'TIF6', 'TIF5', 'MRD1', 'SCD6', 'RRP9', 'NOC4', 'URN1', 'SGV1', 'PRP4', 'RPS8A', 'RPS11B', 'RPS11A', 'RPS17B', 'RPL27A', 'RPS22A', 'CMS1', 'RPS22B', 'RPS1A', 'RPS17A', 'RPS1B']","['HSF1', 'CST6', 'IFH1', 'SFP1', 'RAP1', 'SPT20', 'GCR1', 'FHL1']","['Mpp10 complex', 'Noc4p-Nop14p complex', 'Pwp2p-containing subcomplex of 90S preribosome', 'box C/D snoRNP complex', 'cytosolic small ribosomal subunit', 'nucleolus', 'nucleus', 'preribosome, small subunit precursor', 'rDNA heterochromatin', 'ribosome', 'small ribosomal subunit', 'small-subunit processome', 't-UTP complex']","['WD domain, G-beta repeat', 'S4 domain']"
ADA complex,6,"['YCL010C', 'YCR082W', 'YDR176W', 'YDR448W', 'YGR252W', 'YOR023C']",,"['EPL1', 'RPB9', 'TRA1', 'ACS2', 'NAM2', 'ELP6', 'SIN3', 'SWI1']",['histone acetyltransferase activity'],"['chromatin organization', 'histone H3 acetylation', 'histone acetylation']",,['silencing: abnormal'],"['PRP45', 'SPT7', 'SUS1', 'TAF5', 'SGF29', 'AHC2', 'RPT2', 'TAF12', 'TAF10', 'NGG1', 'SPT3', 'ADA2', 'GCN4', 'RPL12A', 'CHD1', 'TUB2', 'SGF73', 'TAF6', 'RCK1', 'GCN5', 'TAF1', 'TRA1', 'CCT8', 'TDH1', 'SPT10', 'TDH2', 'MAE1', 'TEF4', 'SPT8', 'CNA1', 'YAP1', 'UBP8', 'TAF9', 'FAA4', 'RPP2A', 'SPT20', 'AHC1', 'SGF11', 'CTI6', 'GAL4', 'HFI1', 'HAA1', 'DIT1']",,"['SAGA complex', 'SLIK (SAGA-like) complex']",
AP-1 adaptor complex,4,"['YKL135C', 'YLR170C', 'YPL259C', 'YPR029C']",,"['CHC1', 'CHS6']",['clathrin adaptor activity'],"['Golgi to vacuole transport', 'intracellular protein transport', 'vesicle-mediated transport']",,"['respiratory growth: increased', 'vacuolar transport: abnormal']","['IRC6', 'CHC1', 'APM2', 'GGA2', 'APL2', 'APS1', 'APM1', 'APL4']",,"['clathrin-coated pit', 'clathrin-coated vesicle membrane', 'cytoplasmic vesicle', 'membrane coat']",
AP-2 adaptor complex,5,"['YBL037W', 'YHL019C', 'YJR005W', 'YJR058C', 'YOL062C']",,,['clathrin adaptor activity'],"['clathrin-dependent endocytosis', 'endocytosis', 'intracellular protein transport', 'protein transport', 'vesicle-mediated transport']",,,"['APL3', 'APL1', 'APS2', 'APM4']",,"['clathrin adaptor complex', 'clathrin-coated pit', 'clathrin-coated vesicle membrane', 'membrane coat']",['Adaptor complexes medium subunit family']
AP-3 adaptor complex,4,"['YBR288C', 'YGR261C', 'YJL024C', 'YPL195W']",,"['CCR4', 'ARL1', 'TRS20', 'ARF1', 'RGP1', 'SWA2', 'VPS45', 'SEC27', 'VOA1', 'YCK1', 'AGE2', 'COG8', 'STV1', 'COG6', 'COG5', 'YCK2', 'TLG2', 'GYP1', 'ARL3', 'ALG5']",,"['Golgi to vacuole transport', 'intracellular protein transport', 'protein targeting to vacuole', 'protein transport', 'vesicle-mediated transport']",,"['chemical compound excretion: increased', 'metal resistance: decreased', 'protein/peptide modification: decreased', 'respiratory growth: increased', 'stress resistance: decreased']","['APM3', 'APL6', 'NYV1', 'APL5']",,"['Golgi apparatus', 'clathrin-coated vesicle membrane', 'cytoplasmic vesicle', 'cytoplasmic vesicle membrane', 'membrane coat']",
ASTRA complex,7,"['YDR190C', 'YGR099W', 'YHR099W', 'YJR136C', 'YKL033W', 'YPL235W', 'YPR085C']",,"['RFA1', 'CDC27', 'PKC1', 'FUR4', 'SLM4', 'CMD1', 'SUP45', 'RPB5', 'VAC17', 'TAH1', 'USO1', 'YRB1', 'DBF4', 'MSS4', 'PCF11', 'TFB1', 'GPI19', 'STP1', 'YDR514C', 'HYP2', 'TSC11', 'LSM4', 'GDI1', 'SPT15', 'RAD4', 'MOB2', 'PIB2', 'HSF1', 'FZF1', 'TEL2', 'NOP7', 'YGR122W', 'YIP1', 'COQ6', 'EFG1', 'EFM1', 'ERG11', 'THR1', 'PIH1', 'BRL1', 'RRP4', 'RPF1', 'DNA2', 'KOG1', 'RPB3', 'ARC15', 'HOS4', 'STH1', 'MCM10', 'PAN1', 'MRS1', 'VPS53', 'PEP8', 'EXO70', 'DPB11', 'PHS1', 'RCY1', 'ARP3', 'RFC2', 'NNF1', 'CDC16', 'TFA1', 'ABF1', 'SRP102', 'MCD4', 'SNU114', 'ACP1', 'PAP1', 'DBP7', 'DID2', 'PRP16', 'SRP40', 'TEN1', 'MCM5', 'SEC65', 'PML39', 'GTR1', 'NAM7', 'TOM40', 'CUS1', 'HCH1', 'SMC5', 'YGK3', 'NOP8', 'DCP1', 'VAM3', 'PFY1', 'LAS17', 'SER1', 'IES4', 'RRS1', 'ECM23', 'NOP4', 'BTS1', 'NOG1', 'TGS1', 'SGV1', 'RPL32', 'YBR196C-A', 'QRI7', 'YDL144C', 'ILT1', 'SOM1', 'MF(ALPHA)2', 'RPS20', 'CCT8', 'ECM9', 'YLR264C-A', 'YLR406C-A', 'NBP1', 'YML083C', 'INP2', 'NOG2', 'RPB11', 'DIB1']",,['chromatin organization'],,"['cell cycle progression in G1 phase: arrested', 'inviable', 'telomere length: decreased']","['SWC4', 'TEL2', 'TTI1']",,"['NuA4 histone acetyltransferase complex', 'R2TP complex']","['TIP49 P-loop domain', 'TIP49 AAA-lid domain']"
