GO_MF(Queried),count,SystematicName,Disease,Genetic_Interaction,GO_CC,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,GO_MF,Protein_Domain
(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity,1,['YKL182W'],,,,,,,,,,
(D)-2-hydroxyglutarate-pyruvate transhydrogenase activity,1,['YEL071W'],,,,,,,,,,
(R)-2-hydroxyglutarate dehydrogenase activity,1,['YDL178W'],,,,,,,,,,
(R)-carnitine transmembrane transporter activity,1,['YGL077C'],,,,,,,,,,
"(R,R)-butanediol dehydrogenase activity",2,"['YAL060W', 'YAL061W']",,,,['butanediol biosynthetic process'],,,,,,
(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity,1,['YLR359W'],,,,,,,,,,
"1,3-beta-D-glucan synthase activity",3,"['YGR032W', 'YLR342W', 'YMR306W']",,,"['1,3-beta-D-glucan synthase complex']","['(1->3)-beta-D-glucan biosynthetic process', 'cell wall organization', 'fungal-type cell wall polysaccharide biosynthetic process', 'regulation of cell shape']",,,,,"['glucosyltransferase activity', 'transferase activity, transferring glycosyl groups']","['1,3-beta-glucan synthase component', '1,3-beta-glucan synthase subunit FKS1, domain-1']"
"1,3-beta-glucanosyltransferase activity",9,"['YGL028C', 'YGR279C', 'YGR282C', 'YLR343W', 'YMR215W', 'YMR305C', 'YMR307W', 'YOL030W', 'YOL132W']",,['SED1'],"['anchored component of membrane', 'cell surface', 'extracellular region', 'fungal-type cell wall', 'fungal-type vacuole']","['carbohydrate metabolic process', 'cell wall (1->3)-beta-D-glucan biosynthetic process', 'cell wall organization', 'fungal-type cell wall (1->3)-beta-D-glucan biosynthetic process', 'fungal-type cell wall organization', 'metabolic process']",,,,,"['glucan endo-1,3-beta-D-glucosidase activity', 'hydrolase activity, acting on glycosyl bonds', 'hydrolase activity, hydrolyzing O-glycosyl compounds']","['Glycosyl hydrolases family 17', 'Glucanosyltransferase', 'X8 domain']"
"1,4-alpha-glucan branching enzyme activity",1,['YEL011W'],,,,,,,,,,
"1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis)",1,['YEL011W'],,,,,,,,,,
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity,1,['YIL020C'],,,,,,,,,,
1-acyl dihydroxyacetone phosphate reductase activity,1,['YIL124W'],,,,,,,,,,
1-acylglycerol-3-phosphate O-acyltransferase activity,5,"['YDL052C', 'YLR099C', 'YOR175C', 'YOR298W', 'YPR139C']",,,,"['glycerophospholipid biosynthetic process', 'lipid metabolic process', 'phospholipid biosynthetic process']",,,,,"['1-acylglycerophosphocholine O-acyltransferase activity', 'lysophosphatidic acid acyltransferase activity', 'transferase activity, transferring acyl groups']",
1-acylglycerophosphocholine O-acyltransferase activity,3,"['YDL052C', 'YOR175C', 'YPR140W']",,,,"['glycerophospholipid biosynthetic process', 'phospholipid biosynthetic process', 'phospholipid metabolic process']",,,,,"['1-acylglycerol-3-phosphate O-acyltransferase activity', 'O-acyltransferase activity', 'transferase activity, transferring acyl groups']",['Acyltransferase']
1-phosphatidylinositol 4-kinase activity,4,"['YJL100W', 'YKL203C', 'YLR305C', 'YNL267W']",,,,"['microlipophagy', 'phosphatidylinositol phosphorylation', 'phosphatidylinositol-mediated signaling', 'phosphorylation']",['phosphatidylinositol phosphate biosynthesis'],"['heat sensitivity: normal', 'protein/peptide modification: normal']",,,"['kinase activity', 'phosphatidylinositol kinase activity']",['Phosphatidylinositol 3- and 4-kinase']
1-phosphatidylinositol binding,3,"['YCR002C', 'YGR241C', 'YHR161C']",,,"['cellular bud neck', 'clathrin-coated pit', 'clathrin-coated vesicle', 'prospore membrane']","['clathrin coat assembly', 'clathrin-dependent endocytosis', 'membrane budding']",,,,,"['clathrin binding', 'clathrin heavy chain binding', 'phosphatidylinositol-4,5-bisphosphate binding']",['ANTH domain']
1-phosphatidylinositol-3-kinase activity,1,['YLR240W'],,,,,,,,,,
1-phosphatidylinositol-3-phosphate 5-kinase activity,1,['YFR019W'],,,,,,,,,,
1-phosphatidylinositol-4-phosphate 5-kinase activity,1,['YDR208W'],,,,,,,,,,
1-pyrroline-5-carboxylate dehydrogenase activity,1,['YHR037W'],,,,,,,,,,
17-beta-hydroxysteroid dehydrogenase (NAD+) activity,1,['YKR009C'],,,,,,,,,,
18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase activity,1,['YPL266W'],,,,,,,,,,
"2 iron, 2 sulfur cluster binding",18,"['YBR014C', 'YDL010W', 'YDL120W', 'YDR098C', 'YEL024W', 'YER174C', 'YGL220W', 'YGR286C', 'YKL195W', 'YKR071C', 'YLL027W', 'YLL041C', 'YOR226C', 'YPL059W', 'YPL135W', 'YPL252C', 'YPR002W', 'YPR067W']",['mitochondrial myopathy'],,"['mitochondrial matrix', 'mitochondrion']","['biotin biosynthetic process', 'cellular iron ion homeostasis', 'cellular response to oxidative stress', 'iron-sulfur cluster assembly', 'negative regulation of transcription regulatory region DNA binding', 'positive regulation of histone deacetylation', 'protein maturation by [4Fe-4S] cluster transfer', 'protein maturation by iron-sulfur cluster transfer']",,['protein activity: decreased'],['GRX3'],,"['4 iron, 4 sulfur cluster binding', 'disulfide oxidoreductase activity', 'electron carrier activity', 'ferrous iron binding', 'glutathione disulfide oxidoreductase activity', 'glutathione oxidoreductase activity', 'iron ion binding', 'iron-sulfur cluster binding', 'metal ion binding']","['Glutaredoxin', 'Iron-sulphur cluster biosynthesis', 'NifU-like N terminal domain']"
"2',3'-cyclic-nucleotide 3'-phosphodiesterase activity",2,"['YGR247W', 'YJL087C']",,,,,,,,,,
"2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity",1,['YEL038W'],,,,,,,,,,
"2,4-dienoyl-CoA reductase (NADPH) activity",1,['YNL202W'],,,,,,,,,,
"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase activity",1,['YOL066C'],,,,,,,,,,
2-acylglycerol O-acyltransferase activity,1,['YOR245C'],,,,,,,,,,
2-alkenal reductase [NAD(P)] activity,1,['YBR046C'],,,,,,,,,,
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity,1,['YNL256W'],,,,,,,,,,
2-aminoadipate transaminase activity,4,"['YER152C', 'YGL202W', 'YHR137W', 'YJL060W']",,,,"['L-kynurenine catabolic process', 'L-methionine salvage from methylthioadenosine', 'L-phenylalanine biosynthetic process', 'alpha-amino acid metabolic process', 'aromatic amino acid family catabolic process', 'aromatic amino acid family metabolic process', 'biosynthetic process', 'lysine biosynthetic process via aminoadipic acid', 'tyrosine biosynthetic process']","['methionine salvage pathway', 'phenylalanine biosynthesis', 'phenylalanine degradation', 'tryptophan degradation', 'tyrosine biosynthesis', 'tyrosine degradation']",,,,"['L-phenylalanine:2-oxoglutarate aminotransferase activity', 'aromatic-amino-acid:2-oxoglutarate aminotransferase activity', 'catalytic activity', 'kynurenine-oxoglutarate transaminase activity', 'pyridoxal phosphate binding', 'transaminase activity']",['Aminotransferase class I and II']
2-dehydropantoate 2-reductase activity,2,"['YDR197W', 'YHR063C']",,,,,,,,,['NADP binding'],['Ketopantoate reductase PanE/ApbA C terminal']
2-deoxyglucose-6-phosphatase activity,2,"['YHR043C', 'YHR044C']",,,,,,,,['HAC1'],"['beta-phosphoglucomutase activity', 'sugar-phosphatase activity']",['Haloacid dehalogenase-like hydrolase']
"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity",1,['YML110C'],,,,,,,,,,
2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity,1,['YEL038W'],,,,,,,,,,
2-isopropylmalate synthase activity,2,"['YNL104C', 'YOR108W']",,,,"['branched-chain amino acid biosynthetic process', 'carboxylic acid metabolic process', 'leucine biosynthetic process']",['leucine biosynthesis'],,['LEU9'],,"['transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer']","['HMGL-like', 'LeuA allosteric (dimerisation) domain']"
2-methylcitrate dehydratase activity,1,['YPR002W'],,,,,,,,,,
2-methylcitrate synthase activity,1,['YPR001W'],,,,,,,,,,
"2-octaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity",1,['YML110C'],,,,,,,,,,
2-octaprenyl-6-methoxyphenol hydroxylase activity,1,['YGR255C'],,,,,,,,,,
"2-octoprenyl-3-methyl-6-methoxy-1,4-benzoquinone hydroxylase activity",1,['YOR125C'],,,,,,,,,,
"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity",1,['YOL096C'],,,,,,,,,,
"3 iron, 4 sulfur cluster binding",2,"['YDL171C', 'YLL041C']",,,,,,,,,,
"3'(2'),5'-bisphosphate nucleotidase activity",1,['YOL064C'],,,,,,,,,,
"3',5'-cyclic-AMP phosphodiesterase activity",2,"['YGL248W', 'YOR360C']",,,,['adenylate cyclase-activating G-protein coupled receptor signaling pathway'],,,,,"[""3',5'-cyclic-nucleotide phosphodiesterase activity"", 'phosphoric diester hydrolase activity']",
"3',5'-cyclic-GMP phosphodiesterase activity",1,['YGL248W'],,,,,,,,,,
