Protein_Domain(Queried),Protein_Domain_name,count,SystematicName,Disease,Genetic_Interaction,GO_CC,GO_MF,GO_BP,Pathway,Mutant_Phenotype,Physical_Interaction,Transcriptional_Regulation,Protein_Domain
PF00004,ATPase family associated with various cellular activities (AAA),33,"['YBL022C', 'YBR080C', 'YBR186W', 'YDL007W', 'YDL126C', 'YDR258C', 'YDR375C', 'YDR394W', 'YER017C', 'YER047C', 'YGL048C', 'YGR028W', 'YGR270W', 'YJR068W', 'YKL145W', 'YKL197C', 'YLL026W', 'YLL034C', 'YLR397C', 'YML065W', 'YMR078C', 'YMR089C', 'YNL218W', 'YNL290W', 'YNL329C', 'YOL094C', 'YOR117W', 'YOR217W', 'YOR259C', 'YPL074W', 'YPL217C', 'YPR024W', 'YPR173C']","['hereditary spastic paraplegia', 'inclusion body myopathy with Paget disease of bone and frontotemporal dementia', 'peroxisomal biogenesis disorder', 'spinocerebellar ataxia type 28']","['PRE7', 'PRE1', 'RPN11', 'SCL1', 'NAS6', 'PUP2', 'RPN10', 'PRE8', 'MRE11', 'PRE5', 'PRE6', 'RPT5', 'PRE10', 'CHL1']","['Ctf18 RFC-like complex', 'DNA replication factor C complex', 'Elg1 RFC-like complex', 'Rad17 RFC-like complex', 'm-AAA complex', 'proteasome complex', 'proteasome regulatory particle, base subcomplex']","['ATP binding', 'ATP-dependent peptidase activity', 'ATPase activity', 'DNA clamp loader activity', 'nucleotide binding', 'proteasome-activating ATPase activity']","['DNA replication', 'DNA-dependent DNA replication', 'cellular heat acclimation', 'leading strand elongation', 'positive regulation of RNA polymerase II transcriptional preinitiation complex assembly', 'positive regulation of proteasomal protein catabolic process', 'proteasome regulatory particle assembly', 'proteasome-mediated ubiquitin-dependent protein catabolic process', 'protein catabolic process', 'protein unfolding']",,['replicative lifespan: decreased'],"['HTA2', 'HHT1', 'RFC5', 'POL30', 'HSM3', 'RPT2', 'RPN4', 'RPN6', 'RPN5', 'CDC9', 'SEM1', 'RPT3', 'RPN9', 'RAD23', 'PRE1', 'RPN3', 'RAD24', 'UBP6', 'ECO1', 'RPN12', 'RPN14', 'RPT6', 'NAS6', 'YTA7', 'ECM29', 'CTF8', 'NAS2', 'RPN2', 'RFC2', 'CSE4', 'RPT1', 'RPS0B', 'RPN13', 'CDC5', 'CTF18', 'SPT21', 'HHT2', 'RFC3', 'RFC4', 'RPT5', 'ELG1', 'RFC1', 'RPT4', 'RPN8', 'GAL4', 'RPN7']",['RPN4'],"['Peptidase family M41', 'Cell division protein 48 (CDC48), domain 2', 'FtsH Extracellular', 'Replication factor C C-terminal domain', 'Vps4 C terminal oligomerisation domain', 'Proteasomal ATPase OB C-terminal domain', 'AAA+ lid domain', 'AAA lid domain']"
PF00005,ABC transporter,30,"['YCR011C', 'YDR011W', 'YDR061W', 'YDR091C', 'YDR135C', 'YDR406W', 'YER036C', 'YFL028C', 'YFR009W', 'YGR281W', 'YHL035C', 'YIL013C', 'YKL188C', 'YKL209C', 'YKR103W', 'YKR104W', 'YLL015W', 'YLL048C', 'YLR188W', 'YLR249W', 'YMR301C', 'YNL014W', 'YNR070W', 'YOL075C', 'YOR153W', 'YOR328W', 'YPL058C', 'YPL147W', 'YPL226W', 'YPL270W']",['adrenoleukodystrophy'],,"['cell periphery', 'cytosolic ribosome', 'fungal-type vacuole membrane', 'integral component of membrane', 'membrane']","['ABC-type transporter activity', 'ATP binding', 'ATPase activity', 'ATPase activity, coupled to transmembrane movement of substances', 'bilirubin transmembrane transporter activity', 'cadmium-transporting ATPase activity', 'glutathione S-conjugate-exporting ATPase activity', 'nucleotide binding', 'oligopeptide-transporting ATPase activity', 'peptide-transporting ATPase activity', 'xenobiotic-transporting ATPase activity']","['bilirubin transport', 'cadmium ion transmembrane transport', 'drug transmembrane export', 'oligopeptide export from mitochondrion', 'peptide transport', 'peroxisomal long-chain fatty acid import', 'transmembrane transport', 'very long-chain fatty acid catabolic process']",,,"['SSA1', 'SSB1', 'TPI1', 'PLM2', 'YGL081W', 'PDR11', 'SOP4', 'FBA1', 'SSA2', 'COF1', 'ZRC1', 'OST2', 'PDR12', 'ZRT1', 'PTR2', 'COS1']",,"['ABC transporter transmembrane region', 'ABC-2 type transporter', 'CDR ABC transporter', 'ABC transporter transmembrane region 2', 'ABC transporter', 'ABC-transporter N-terminal', 'Four helical bundle domain', 'ABC-2 type transporter']"
PF00006,"ATP synthase alpha/beta family, nucleotide-binding domain",4,"['YBL099W', 'YBR127C', 'YDL185W', 'YJR121W']",,,"['mitochondrial proton-transporting ATP synthase, catalytic core', 'proton-transporting ATP synthase complex, catalytic core F(1)', 'vacuolar proton-transporting V-type ATPase, V1 domain']","['proton-transporting ATP synthase activity, rotational mechanism', 'proton-transporting ATPase activity, rotational mechanism']","['ATP metabolic process', 'ATP synthesis coupled proton transport', 'hydrogen ion transmembrane transport', 'ion transport']",,,['IES3'],,"['ATP synthase alpha/beta family, beta-barrel domain']"
PF00009,Elongation factor Tu GTP binding domain,16,"['YAL035W', 'YBR118W', 'YDR172W', 'YDR385W', 'YER025W', 'YJL102W', 'YKL173W', 'YKR084C', 'YLR069C', 'YLR289W', 'YNL163C', 'YOL023W', 'YOR076C', 'YOR133W', 'YOR187W', 'YPR080W']",,['MRT4'],"['cytosol', 'ribonucleoprotein complex']","['GTP binding', 'GTPase activity', 'nucleotide binding', 'ribosome binding', 'translation elongation factor activity']","['translation', 'translational elongation']",,,"['HYP2', 'EGH1', 'RPS22B']",,"['Elongation factor G C-terminus', 'Elongation factor Tu C-terminal domain', 'Elongation factor Tu domain 2', 'Elongation factor G, domain IV', 'Translation-initiation factor 2', 'Elongation Factor G, domain III']"
PF00010,Helix-loop-helix DNA-binding domain,6,"['YBL103C', 'YFR034C', 'YJR060W', 'YOL067C', 'YOR032C', 'YOR344C']",,['CBF1'],,"['DNA binding', 'RNA polymerase II core promoter proximal region sequence-specific DNA binding', 'protein dimerization activity', 'transcription factor activity, sequence-specific DNA binding']",['cellular response to oleic acid'],,,['INO4'],,
PF00011,Hsp20/alpha crystallin family,2,"['YBR072W', 'YDR171W']",,,,,,,,,,
PF00012,Hsp70 protein,14,"['YAL005C', 'YBL075C', 'YBR169C', 'YDL229W', 'YEL030W', 'YER103W', 'YHR064C', 'YJL034W', 'YJR045C', 'YKL073W', 'YLL024C', 'YLR369W', 'YNL209W', 'YPL106C']",,"['SSA1', 'SSA3', 'FES1', 'SSB1', 'BTT1', 'SSA4', 'EGD2', 'SSM4', 'SSA2', 'SSB2', 'ADE2', 'EGD1']","['cytoplasm', 'polysome']","['ATP binding', 'ATPase activity', 'adenyl-nucleotide exchange factor activity', 'calmodulin binding', 'heat shock protein binding', 'misfolded protein binding', 'nucleotide binding', 'protein binding involved in protein folding', 'unfolded protein binding']","[""'de novo' cotranslational protein folding"", 'SRP-dependent cotranslational protein targeting to membrane, translocation', 'cellular response to unfolded protein', 'chaperone mediated protein folding requiring cofactor', 'negative regulation of cell aging', 'proteasome-mediated ubiquitin-dependent protein catabolic process', 'protein folding', 'protein refolding', 'regulation of translational fidelity', 'translational frameshifting']",,['prion loss: increased'],"['SSA1', 'CYS3', 'RBG1', 'CLN3', 'NUP60', 'ADE1', 'PRM9', 'SHP1', 'UBP13', 'AST1', 'SSA3', 'CST26', 'UBP14', 'BAP2', 'HSP26', 'FES1', 'LYS2', 'PTC4', 'HSL7', 'CNS1', 'AMN1', 'CDC28', 'SSE2', 'MBA1', 'PGI1', 'TAF5', 'NGR1', 'DUG2', 'YBR287W', 'ILV6', 'BUD3', 'ADP1', 'ELO2', 'YCR043C', 'PER1', 'HCM1', 'ERS1', 'PAT1', 'AHC2', 'USO1', 'COX9', 'UBX3', 'QRI1', 'CDC48', 'PCL2', 'VCX1', 'YDL144C', 'DHH1', 'CDC9', 'ARF1', 'YDL206W', 'SHR3', 'HBT1', 'SSB1', 'NTH1', 'SNQ2', 'VPS54', 'REG1', 'PST2', 'HEM13', 'DET1', 'PST1', 'RPS13', 'BMH2', 'ALT2', 'DOP1', 'SAN1', 'EKI1', 'SEC1', 'SEC5', 'CDC37', 'SEC7', 'HSP42', 'SUP35', 'CSN9', 'CCT6', 'SLY1', 'MSS4', 'AHA1', 'RTN1', 'MNN10', 'DPP1', 'CFT1', 'RSC3', 'UTP4', 'SKP1', 'YPQ2', 'TFC6', 'KEI1', 'YRA1', 'UBA2', 'PDR15', 'TRS120', 'NPL3', 'TFB3', 'SNF1', 'PEX29', 'VPS52', 'SEC20', 'GNP1', 'GRX2', 'FPR2', 'IRC22', 'YEL025C', 'ANP1', 'YEF1', 'RPL12A', 'DLD3', 'YEL077C', 'PRE1', 'YPT31', 'PIC2', 'PCL6', 'SBH1', 'DOT6', 'SSA4', 'SAK1', 'PMD1', 'UBP3', 'OXA1', 'BEM2', 'YER158C', 'RPH1', 'FMP10', 'VTC2', 'BLM10', 'RPO41', 'FET5', 'OTU1', 'RPN11', 'YFR006W', 'AIP5', 'RSC8', 'ERG4', 'CWH41', 'ERV14', 'RPL7A', 'SNF4', 'SCS3', 'CEG1', 'CDC43', 'NUP49', 'GTS1', 'GCN1', 'EMP24', 'ARO8', 'CHC1', 'VAM7', 'CLG1', 'MDM34', 'VRG4', 'VID30', 'MCY1', 'YGR016W', 'ORM1', 'MUP1', 'VOA1', 'NAT2', 'CYS4', 'RBG2', 'CBP4', 'TDH3', 'YPP1', 'TRX2', 'YHB1', 'MIC26', 'ENO1', 'MES1', 'FOL2', 'CAB4', 'ERV29', 'ZUO1', 'HSE1', 'ECM29', 'RPL8A', 'SBP1', 'EFM1', 'TDA3', 'SLT2', 'NCP1', 'GIC1', 'PAN5', 'RRP4', 'PAL2', 'SFB3', 'GRE3', 'GGA2', 'UBA4', 'APE4', 'TOM71', 'MSH1', 'MPC2', 'RPN10', 'PDR11', 'MNT3', 'SNL1', 'VID28', 'IRR1', 'GVP36', 'SYG1', 'PCL7', 'GPP1', 'RPN2', 'UTP25', 'NUP159', 'AYR1', 'OM45', 'NDC80', 'PAN6', 'MLP2', 'ESL1', 'DSN1', 'CTK2', 'KAR2', 'NUP192', 'MTR4', 'PEP8', 'YJL070C', 'JEM1', 'TOK1', 'GZF3', 'LSM1', 'TIM17', 'VPS35', 'HSP150', 'ATG27', 'MNN11', 'ELO1', 'PHO90', 'NUC1', 'OPT1', 'MPP10', 'TDH2', 'CPR7', 'SSC1', 'NTA1', 'NPA3', 'HOC1', 'SFC1', 'ADO1', 'MET5', 'RPS4A', 'SPT23', 'IXR1', 'DCW1', 'CSE4', 'LHS1', 'PSG1', 'CYT2', 'OAC1', 'MYO3', 'DPH2', 'MIA40', 'STE6', 'OXP1', 'RSC4', 'MIC60', 'KAE1', 'NAP1', 'TRM2', 'TIF1', 'SIR1', 'VBA5', 'MMM1', 'YEH1', 'BPT1', 'SSA2', 'FRA1', 'GRC3', 'RPL8B', 'YBT1', 'YLL058W', 'YLR001C', 'THI73', 'ADE16', 'SPC3', 'RPL10', 'RAX2', 'NYV1', 'CCW12', 'SLS1', 'ACS2', 'SEC10', 'SAM1', 'SKG3', 'ATG26', 'NMT1', 'PWP1', 'MSS51', 'PNP1', 'CSC1', 'MAP1', 'HSP60', 'SEC72', 'GSP1', 'CDC25', 'NMA1', 'GAS2', 'KAP95', 'DIC1', 'ORM2', 'TAL1', 'RSC2', 'STE11', 'ELO3', 'VID22', 'NAM2', 'IKI3', 'ATP10', 'SKI2', 'VIP1', 'INA1', 'CDC73', 'YML002W', 'GLO1', 'ERG6', 'RPS18B', 'TSA1', 'CGI121', 'YMD8', 'MFT1', 'ORC1', 'DAK1', 'YML096W', 'VPS9', 'COQ5', 'YMR027W', 'SOV1', 'NPL6', 'AIP1', 'YMR099C', 'MYO5', 'ASC1', 'RPL15B', 'PKR1', 'ECM16', 'POM152', 'SWP1', 'MLH1', 'ECM5', 'HSC82', 'ERG2', 'HFA1', 'ERG12', 'SCJ1', 'TRS130', 'BCH1', 'DFG5', 'RPL20A', 'TRM732', 'TPS3', 'NGL2', 'FKS3', 'ADH6', 'RLP7', 'HRB1', 'SIS1', 'ASI3', 'SFB2', 'YDJ1', 'IMP4', 'NIS1', 'PMS1', 'TCB2', 'POL1', 'NAF1', 'ESBP6', 'IGO1', 'CBK1', 'RPS3', 'PBR1', 'SIP3', 'PDR17', 'LYP1', 'ZIM17', 'EMW1', 'ATP11', 'CIT1', 'RPC34', 'PHO91', 'SEC12', 'BUD17', 'YNR029C', 'SOL1', 'DBP6', 'YNR048W', 'LYS9', 'BRE5', 'PDR18', 'COS10', 'TOP1', 'RCL1', 'HRD1', 'DIS3', 'SIL1', 'MSE1', 'PEX15', 'YOL057W', 'THP1', 'YOL075C', 'REX4', 'IRA2', 'ATG19', 'COQ3', 'WRS1', 'SDD3', 'GRE2', 'SGT2', 'SFM1', 'STI1', 'CYC2', 'HIR2', 'WHI2', 'RAT1', 'TGL5', 'TCB1', 'TMA46', 'NUP1', 'CEX1', 'RPT5', 'EFT1', 'SFL1', 'LSC1', 'MDM32', 'ISN1', 'GET4', 'MCA1', 'SAS5', 'HER1', 'MGE1', 'DFR1', 'ENV9', 'NAT5', 'SEC63', 'RPS10A', 'TIM18', 'DGK1', 'RPA190', 'PYK2', 'PDE2', 'PRT1', 'HAT1', 'SNF8', 'RET3', 'RRP12', 'IRC15', 'VTC3', 'ULP1', 'RAD1', 'MET12', 'PDR12', 'GRX5', 'MFM1', 'BRO1', 'MSD1', 'SSE1', 'GDE1', 'COX11', 'GIP3', 'PXA1', 'REV3', 'TCO89', 'RTT10', 'YIG1', 'TYW1', 'PUS1', 'PCL8', 'HSP82', 'GYP5', 'APM1', 'RPA135', 'TIF6', 'CCL1', 'YOP1', 'NTO1', 'THP3', 'TFB4', 'SYT1', 'RPL11A', 'PIS1', 'YPR114W', 'CLB2', 'ANT1', 'SCD6', 'NAT3', 'CTF4', 'TAZ1', 'NOC4', 'TPO3', 'KRE6', 'ORC4', 'TIF3', 'DPM1', 'SKI3', 'BDH1', 'EMI2', 'ARO2', 'UGA1', 'TES1', 'TRM44']","['SPT7', 'HSF1', 'RGR1', 'SUA7']",
PF00013,KH domain,5,"['YBL032W', 'YBR233W', 'YJL080C', 'YLR116W', 'YNL210W']",,,,"['RNA binding', 'mRNA binding', 'nucleic acid binding']",['regulation of RNA metabolic process'],,,"['PAB1', 'MUD2', 'MSL5', 'CCW14', 'PRY3', 'AGA1']",,
PF00018,SH3 domain,20,"['YAR014C', 'YBL007C', 'YBL085W', 'YBR200W', 'YCL027W', 'YCR088W', 'YDR162C', 'YDR388W', 'YER114C', 'YER118C', 'YFR024C-A', 'YGR136W', 'YHL002W', 'YHR016C', 'YHR114W', 'YKL129C', 'YLR191W', 'YLR310C', 'YMR109W', 'YPR154W']",,"['RVS161', 'SEC15', 'PAC10', 'RSR1', 'BNR1', 'EXO70', 'LAS17', 'MSB1']","['ESCRT-0 complex', 'actin cortical patch', 'cell cortex', 'cell tip', 'cellular bud', 'cellular bud neck', 'cytoplasm', 'cytoskeleton', 'mating projection tip', 'microvillus', 'plasma membrane', 'recycling endosome', 'site of polarized growth']","['actin binding', 'actin filament binding', 'phosphatidylinositol binding']","['actin cortical patch localization', 'actin filament organization', 'endocytosis', 'negative regulation of Arp2/3 complex-mediated actin nucleation', 'positive regulation of Arp2/3 complex-mediated actin nucleation', 'receptor recycling', 'vesicle fusion to plasma membrane']",,,"['CDC24', 'SLA1', 'FUS3', 'PKC1', 'AIM3', 'KTR3', 'ARC40', 'ERT1', 'STP22', 'RRP7', 'LSB5', 'SYP1', 'ABP1', 'SCM3', 'LDB17', 'AFR1', 'CCC2', 'MTH1', 'RVS167', 'DIG2', 'SEC3', 'SAP1', 'BOI2', 'SHO1', 'YER158C', 'WWM1', 'ACT1', 'LSB3', 'SAP155', 'MIG1', 'YBP2', 'VPS73', 'GTS1', 'CDC55', 'MCM6', 'CSE1', 'ACB1', 'DIE2', 'HUA1', 'HSE1', 'STE20', 'YSC84', 'PRK1', 'NDC80', 'UBP7', 'BNR1', 'SYS1', 'BBC1', 'BCK1', 'PBS2', 'SNA3', 'CDC6', 'ACF4', 'MYO3', 'GMH1', 'SPO75', 'UBI4', 'PER33', 'BOS1', 'KIN2', 'ACF2', 'CDC42', 'VRP1', 'TDA5', 'ZDS2', 'HOF1', 'MYO5', 'DNF3', 'GYL1', 'TGL3', 'ARK1', 'SSN8', 'END3', 'APP1', 'INP52', 'SRV2', 'INN1', 'RTT106', 'SLA2', 'BNI1', 'CLA4', 'ACC1', 'NBA1', 'STD1', 'INP53', 'LAS17', 'MSB1', 'HUA2', 'SCD5', 'GDS1', 'MET31', 'DIG1', 'RBD2', 'GYP5', 'SEC8', 'BSP1', 'EXG2', 'FIR1', 'ECM25', 'YJR115W', 'MET1', 'YMR084W', 'YMR244W', 'YMR253C', 'TDA7', 'SRL1', 'GRS2']",,"['Las17-binding protein actin regulator', 'Unconventional myosin tail, actin- and lipid-binding', 'Variant SH3 domain']"
PF00022,Actin,11,"['YDL029W', 'YDR106W', 'YFL039C', 'YHR129C', 'YJL081C', 'YJR065C', 'YLR085C', 'YMR033W', 'YNL059C', 'YOR141C', 'YPR034W']",,"['UBA4', 'DFG10', 'HRT1']","['Arp2/3 protein complex', 'Ino80 complex', 'NuA4 histone acetyltransferase complex', 'SWI/SNF complex', 'Swr1 complex', 'actin cortical patch', 'cytoskeleton', 'dynactin complex', 'dynein complex']",['structural constituent of cytoskeleton'],"['chromatin remodeling', 'nucleosome mobilization']",,,"['SWC3', 'HHF1', 'SWC5', 'NHP10', 'AIM7', 'RVB1', 'SWR1', 'VPS72', 'IES6', 'IES5', 'IES1', 'ACT1', 'INO80', 'IES3', 'FBP1', 'VPS71', 'ARP5', 'IES2', 'ARP8', 'IES4', 'MOT1', 'TAF14', 'RVB2']",,
